,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,prediction
607,a,29.58,1.75,y,p,k,v,1.25,f,f,0.0,t,g,280.0,0.0,-,-
608,b,16.17,0.04,u,g,c,v,0.04,f,f,0.0,f,g,0.0,0.0,+,-
609,b,32.33,3.5,u,g,k,v,0.5,f,f,0.0,t,g,232.0,0.0,-,-
611,b,47.83,4.165,u,g,x,bb,0.085,f,f,0.0,t,g,520.0,0.0,-,-
612,b,20.0,1.25,y,p,k,v,0.125,f,f,0.0,f,g,140.0,4.0,-,-
613,b,27.58,3.25,y,p,q,h,5.085,f,t,2.0,t,g,369.0,1.0,-,-
614,b,22.0,0.79,u,g,w,v,0.29,f,t,1.0,f,g,420.0,283.0,-,-
615,b,19.33,10.915,u,g,c,bb,0.585,f,t,2.0,t,g,200.0,7.0,-,-
616,a,38.33,4.415,u,g,c,v,0.125,f,f,0.0,f,g,160.0,0.0,-,-
617,b,29.42,1.25,u,g,c,h,0.25,f,t,2.0,t,g,400.0,108.0,-,-
618,b,22.67,0.75,u,g,i,v,1.585,f,t,1.0,t,g,400.0,9.0,-,-
619,b,32.25,14.0,y,p,ff,ff,0.0,f,t,2.0,f,g,160.0,1.0,-,-
620,b,29.58,4.75,u,g,m,v,2.0,f,t,1.0,t,g,460.0,68.0,-,-
621,b,18.42,10.415,y,p,aa,v,0.125,t,f,0.0,f,g,120.0,375.0,-,+
622,b,22.17,2.25,u,g,i,v,0.125,f,f,0.0,f,g,160.0,10.0,-,-
623,b,22.67,0.165,u,g,c,j,2.25,f,f,0.0,t,s,0.0,0.0,+,-
625,b,18.83,0.0,u,g,q,v,0.665,f,f,0.0,f,g,160.0,1.0,-,-
626,b,21.58,0.79,y,p,cc,v,0.665,f,f,0.0,f,g,160.0,0.0,-,-
627,b,23.75,12.0,u,g,c,v,2.085,f,f,0.0,f,s,80.0,0.0,-,-
629,b,36.08,2.54,u,g,ff,ff,0.0,f,f,0.0,f,g,0.0,1000.0,-,-
630,b,29.25,13.0,u,g,d,h,0.5,f,f,0.0,f,g,228.0,0.0,-,-
631,a,19.58,0.665,u,g,w,v,1.665,f,f,0.0,f,g,220.0,5.0,-,-
632,a,22.92,1.25,u,g,q,v,0.25,f,f,0.0,t,g,120.0,809.0,-,-
633,a,27.25,0.29,u,g,m,h,0.125,f,t,1.0,t,g,272.0,108.0,-,-
634,a,38.75,1.5,u,g,ff,ff,0.0,f,f,0.0,f,g,76.0,0.0,-,-
635,b,32.42,2.165,y,p,k,ff,0.0,f,f,0.0,f,g,120.0,0.0,-,-
636,a,23.75,0.71,u,g,w,v,0.25,f,t,1.0,t,g,240.0,4.0,-,-
637,b,18.17,2.46,u,g,c,n,0.96,f,t,2.0,t,g,160.0,587.0,-,-
638,b,40.92,0.5,y,p,m,v,0.5,f,f,0.0,t,g,130.0,0.0,-,-
639,b,19.5,9.585,u,g,aa,v,0.79,f,f,0.0,f,g,80.0,350.0,-,-
640,b,28.58,3.625,u,g,aa,v,0.25,f,f,0.0,t,g,100.0,0.0,-,-
641,b,35.58,0.75,u,g,k,v,1.5,f,f,0.0,t,g,231.0,0.0,-,-
642,b,34.17,2.75,u,g,i,bb,2.5,f,f,0.0,t,g,232.0,200.0,-,-
644,b,31.58,0.75,y,p,aa,v,3.5,f,f,0.0,t,g,320.0,0.0,-,-
645,a,52.5,7.0,u,g,aa,h,3.0,f,f,0.0,f,g,0.0,0.0,-,-
646,b,36.17,0.42,y,p,w,v,0.29,f,f,0.0,t,g,309.0,2.0,-,-
647,b,37.33,2.665,u,g,cc,v,0.165,f,f,0.0,t,g,0.0,501.0,-,-
648,a,20.83,8.5,u,g,c,v,0.165,f,f,0.0,f,g,0.0,351.0,-,-
649,b,24.08,9.0,u,g,aa,v,0.25,f,f,0.0,t,g,0.0,0.0,-,-
650,b,25.58,0.335,u,g,k,h,3.5,f,f,0.0,t,g,340.0,0.0,-,-
651,a,35.17,3.75,u,g,ff,ff,0.0,f,t,6.0,f,g,0.0,200.0,-,-
652,b,48.08,3.75,u,g,i,bb,1.0,f,f,0.0,f,g,100.0,2.0,-,-
653,a,15.83,7.625,u,g,q,v,0.125,f,t,1.0,t,g,0.0,160.0,-,-
654,a,22.5,0.415,u,g,i,v,0.335,f,f,0.0,t,s,144.0,0.0,-,-
655,b,21.5,11.5,u,g,i,v,0.5,t,f,0.0,t,g,100.0,68.0,-,+
656,a,23.58,0.83,u,g,q,v,0.415,f,t,1.0,t,g,200.0,11.0,-,-
657,a,21.08,5.0,y,p,ff,ff,0.0,f,f,0.0,f,g,0.0,0.0,-,-
658,b,25.67,3.25,u,g,c,h,2.29,f,t,1.0,t,g,416.0,21.0,-,-
659,a,38.92,1.665,u,g,aa,v,0.25,f,f,0.0,f,g,0.0,390.0,-,-
660,a,15.75,0.375,u,g,c,v,1.0,f,f,0.0,f,g,120.0,18.0,-,-
661,a,28.58,3.75,u,g,c,v,0.25,f,t,1.0,t,g,40.0,154.0,-,-
662,b,22.25,9.0,u,g,aa,v,0.085,f,f,0.0,f,g,0.0,0.0,-,-
663,b,29.83,3.5,u,g,c,v,0.165,f,f,0.0,f,g,216.0,0.0,-,-
664,a,23.5,1.5,u,g,w,v,0.875,f,f,0.0,t,g,160.0,0.0,-,-
665,b,32.08,4.0,y,p,cc,v,1.5,f,f,0.0,t,g,120.0,0.0,-,-
666,b,31.08,1.5,y,p,w,v,0.04,f,f,0.0,f,s,160.0,0.0,-,-
667,b,31.83,0.04,y,p,m,v,0.04,f,f,0.0,f,g,0.0,0.0,-,-
668,a,21.75,11.75,u,g,c,v,0.25,f,f,0.0,t,g,180.0,0.0,-,-
669,a,17.92,0.54,u,g,c,v,1.75,f,t,1.0,t,g,80.0,5.0,-,-
670,b,30.33,0.5,u,g,d,h,0.085,f,f,0.0,t,s,252.0,0.0,-,-
671,b,51.83,2.04,y,p,ff,ff,1.5,f,f,0.0,f,g,120.0,1.0,-,-
672,b,47.17,5.835,u,g,w,v,5.5,f,f,0.0,f,g,465.0,150.0,-,-
673,b,25.83,12.835,u,g,cc,v,0.5,f,f,0.0,f,g,0.0,2.0,-,-
674,a,50.25,0.835,u,g,aa,v,0.5,f,f,0.0,t,g,240.0,117.0,-,-
676,a,37.33,2.5,u,g,i,h,0.21,f,f,0.0,f,g,260.0,246.0,-,-
677,a,41.58,1.04,u,g,aa,v,0.665,f,f,0.0,f,g,240.0,237.0,-,-
678,a,30.58,10.665,u,g,q,h,0.085,f,t,12.0,t,g,129.0,3.0,-,-
679,b,19.42,7.25,u,g,m,v,0.04,f,t,1.0,f,g,100.0,1.0,-,-
680,a,17.92,10.21,u,g,ff,ff,0.0,f,f,0.0,f,g,0.0,50.0,-,-
681,a,20.08,1.25,u,g,c,v,0.0,f,f,0.0,f,g,0.0,0.0,-,-
682,b,19.5,0.29,u,g,k,v,0.29,f,f,0.0,f,g,280.0,364.0,-,-
683,b,27.83,1.0,y,p,d,h,3.0,f,f,0.0,f,g,176.0,537.0,-,-
684,b,17.08,3.29,u,g,i,v,0.335,f,f,0.0,t,g,140.0,2.0,-,-
685,b,36.42,0.75,y,p,d,v,0.585,f,f,0.0,f,g,240.0,3.0,-,-
686,b,40.58,3.29,u,g,m,v,3.5,f,f,0.0,t,s,400.0,0.0,-,-
687,b,21.08,10.085,y,p,e,h,1.25,f,f,0.0,f,g,260.0,0.0,-,-
688,a,22.67,0.75,u,g,c,v,2.0,f,t,2.0,t,g,200.0,394.0,-,-
689,a,25.25,13.5,y,p,ff,ff,2.0,f,t,1.0,t,g,200.0,1.0,-,-
690,b,17.92,0.205,u,g,aa,v,0.04,f,f,0.0,f,g,280.0,750.0,-,-
691,b,35.0,3.375,u,g,c,h,8.29,f,f,0.0,t,g,0.0,0.0,-,-
